date,discount_card,store,product_name,card_code,customer_address,customer_phone,issue_date,date_of_birth,gender,transaction_amount
14.10.2023 18:01:44,2719000000053 (Douglas Clark),Քանաքեռ,,2719000000053.0,,086858482,13.10.2022,06.03.1953,Мужской,374.08
06.02.2025 18:46:25,2719000000137 (Michelle Warner),Կենտրոն,,2719000000137.0,,089158247,04.04.2023,02.03.1944,Женский,1743.61
24.08.2023 09:10:51,2719000000023 (Brittany Farmer),Ավան,,2719000000023.0,,063941415,14.08.2023,,Женский,3518.89
29.06.2024 12:23:09,2719000000024 (Shelly Alexander),Շենգավիթ,,2719000000024.0,,021751653,25.07.2023,,Женский,1177.09
29.04.2025 13:00:55,,Կենտրոն,,,,,,,,138.53
15.11.2024 02:34:20,2719000000073 (Paula Palmer),Ավան,,2719000000073.0,,048429542,15.10.2021,30.01.1970,Женский,275.27
15.08.2024 04:16:51,2719000000011 (Melissa Robinson),Կենտրոն,,2719000000011.0,,047362956,14.09.2022,05.09.1996,Женский,1301.69
13.06.2024 04:18:26,2719000000066 (Erin Hernandez),Ավան,,2719000000066.0,,047171241,25.02.2025,18.11.1979,Женский,1721.23
23.03.2024 23:58:26,,Քանաքեռ,,,,,,,,493.6
25.07.2023 14:36:23,2719000000003 (Stacey Ward),Քանաքեռ,,2719000000003.0,,049295247,21.02.2022,09.04.1987,Женский,4264.0
23.12.2024 02:50:23,2719000000142 (Christopher Parker),Աջափնյակ,,2719000000142.0,,021211914,05.07.2024,31.05.1995,Мужской,1721.03
10.12.2023 00:32:09,2719000000116 (Ashley Nolan),Ավան,,2719000000116.0,,023397896,14.10.2022,05.03.2006,Женский,2593.01
31.10.2023 19:52:05,2719000000048 (Debbie Santiago),Էրեբունի,,2719000000048.0,,081641794,30.08.2022,26.07.1955,Женский,1976.32
20.12.2023 03:47:54,,Շենգավիթ,,,,,,,,869.23
02.08.2023 21:21:04,2719000000097 (Kathryn Whitaker),Նոր Նորք,,2719000000097.0,,079793486,02.10.2024,04.06.1963,Женский,550.42
06.06.2023 08:02:51,2719000000143 (Hannah Johnson),Նոր Նորք,,2719000000143.0,,016835171,20.07.2021,20.04.1966,Женский,2317.37
01.11.2023 10:46:04,2719000000071 (Carrie Williams),Կենտրոն,,2719000000071.0,,094696948,24.06.2024,21.12.1967,Женский,1388.57
